datetime,open,high,low,close,symbol
2025-06-17 00:12:00,61.47800,61.47800,61.47800,61.47800,GBP/MUR
2025-06-17 00:17:00,61.46300,61.46300,61.46300,61.46300,GBP/MUR
2025-06-17 00:27:00,61.42600,61.42600,61.42600,61.42600,GBP/MUR
2025-06-17 00:32:00,61.45900,61.45900,61.45900,61.45900,GBP/MUR
2025-06-17 00:37:00,61.45700,61.45700,61.45700,61.45700,GBP/MUR
2025-06-17 03:37:00,61.37000,61.37000,61.37000,61.37000,GBP/MUR
2025-06-17 03:42:00,61.38100,61.38100,61.38100,61.38100,GBP/MUR
2025-06-17 03:47:00,61.38400,61.38400,61.38400,61.38400,GBP/MUR
2025-06-17 03:52:00,61.38200,61.38200,61.38200,61.38200,GBP/MUR
2025-06-17 03:57:00,61.38900,61.38900,61.38900,61.38900,GBP/MUR
2025-06-17 04:02:00,61.37800,61.37800,61.37800,61.37800,GBP/MUR
2025-06-17 05:42:00,61.31300,61.31300,61.31300,61.31300,GBP/MUR
2025-06-17 05:47:00,61.30800,61.30800,61.30800,61.30800,GBP/MUR
2025-06-17 05:52:00,61.29200,61.29200,61.29200,61.29200,GBP/MUR
2025-06-17 05:57:00,61.27700,61.27700,61.27700,61.27700,GBP/MUR
2025-06-17 06:02:00,61.29200,61.29200,61.29200,61.29200,GBP/MUR
2025-06-17 06:07:00,61.31100,61.31100,61.31100,61.31100,GBP/MUR
2025-06-17 06:12:00,61.30300,61.30300,61.30300,61.30300,GBP/MUR
2025-06-17 06:22:00,61.48800,61.48800,61.48800,61.48800,GBP/MUR
2025-06-17 06:27:00,61.49900,61.49900,61.49900,61.49900,GBP/MUR
2025-06-17 06:32:00,61.50700,61.50700,61.50700,61.50700,GBP/MUR
2025-06-17 06:37:00,61.50700,61.50700,61.50700,61.50700,GBP/MUR
2025-06-17 06:42:00,61.30300,61.30300,61.30300,61.30300,GBP/MUR
2025-06-17 06:52:00,61.30800,61.30800,61.30800,61.30800,GBP/MUR
2025-06-17 06:57:00,61.28900,61.28900,61.28900,61.28900,GBP/MUR
2025-06-17 07:02:00,61.28600,61.28600,61.28600,61.28600,GBP/MUR
2025-06-17 07:07:00,61.28400,61.28400,61.28400,61.28400,GBP/MUR
2025-06-17 10:57:00,61.23400,61.23400,61.23400,61.23400,GBP/MUR
2025-06-17 11:02:00,61.25100,61.25100,61.25100,61.25100,GBP/MUR
2025-06-17 11:07:00,61.25600,61.25600,61.25600,61.25600,GBP/MUR
2025-06-17 11:12:00,61.25100,61.25100,61.25100,61.25100,GBP/MUR
2025-06-17 11:17:00,61.26200,61.26200,61.26200,61.26200,GBP/MUR
