datetime,open,high,low,close,symbol
2025-06-19 00:00:00,1.14886,1.1489,1.1484,1.14867,EUR/USD
2025-06-19 00:01:00,1.14868,1.14895,1.14863,1.14892,EUR/USD
2025-06-19 00:02:00,1.14896,1.14938,1.14885,1.14926,EUR/USD
2025-06-19 00:03:00,1.14935,1.15023,1.14925,1.15017,EUR/USD
2025-06-19 00:04:00,1.15054,1.15239,1.15046,1.15166,EUR/USD
2025-06-19 00:05:00,1.15194,1.15201,1.15096,1.15108,EUR/USD
2025-06-19 00:06:00,1.15094,1.15118,1.1507,1.15084,EUR/USD
2025-06-19 00:07:00,1.15084,1.15107,1.15064,1.15085,EUR/USD
2025-06-19 00:08:00,1.15087,1.15137,1.15077,1.15124,EUR/USD
2025-06-19 00:09:00,1.15115,1.15139,1.15083,1.15094,EUR/USD
2025-06-19 00:10:00,1.15092,1.1511,1.15074,1.15080,EUR/USD
2025-06-19 00:11:00,1.15037,1.15069,1.15028,1.15064,EUR/USD
2025-06-19 00:12:00,1.15054,1.15113,1.15049,1.15108,EUR/USD
2025-06-19 00:13:00,1.15108,1.15127,1.1508,1.15118,EUR/USD
2025-06-19 00:14:00,1.15118,1.15208,1.15113,1.15183,EUR/USD
2025-06-19 00:15:00,1.15165,1.15172,1.15124,1.15132,EUR/USD
2025-06-19 00:16:00,1.15128,1.15139,1.15109,1.15122,EUR/USD
2025-06-19 00:17:00,1.15124,1.15139,1.15105,1.15111,EUR/USD
2025-06-19 00:18:00,1.15104,1.15108,1.15084,1.15097,EUR/USD
2025-06-19 00:19:00,1.15088,1.15102,1.15054,1.15060,EUR/USD
2025-06-19 00:20:00,1.15061,1.15113,1.15046,1.15108,EUR/USD
2025-06-19 00:21:00,1.15102,1.15152,1.1509,1.15139,EUR/USD
2025-06-19 00:22:00,1.15131,1.15161,1.15122,1.15136,EUR/USD
2025-06-19 00:23:00,1.15138,1.15148,1.15112,1.15116,EUR/USD
2025-06-19 00:24:00,1.15122,1.15129,1.15062,1.15076,EUR/USD
2025-06-19 00:25:00,1.15077,1.15082,1.15053,1.15057,EUR/USD
2025-06-19 00:26:00,1.15058,1.15071,1.15039,1.15042,EUR/USD
2025-06-19 00:27:00,1.15027,1.15033,1.14986,1.14997,EUR/USD
2025-06-19 00:28:00,1.14996,1.15005,1.14973,1.14989,EUR/USD
2025-06-19 00:29:00,1.15003,1.1502,1.14991,1.15014,EUR/USD
2025-06-19 00:30:00,1.15019,1.15032,1.14993,1.15009,EUR/USD
2025-06-19 00:31:00,1.15010,1.15063,1.15005,1.15058,EUR/USD
2025-06-19 00:32:00,1.15057,1.15068,1.15038,1.15044,EUR/USD
2025-06-19 00:33:00,1.15044,1.15056,1.15029,1.15041,EUR/USD
2025-06-19 00:34:00,1.15047,1.15063,1.15033,1.15057,EUR/USD
2025-06-19 00:35:00,1.15040,1.15053,1.15034,1.15047,EUR/USD
2025-06-19 00:36:00,1.15048,1.1507,1.15044,1.15064,EUR/USD
2025-06-19 00:37:00,1.15059,1.15071,1.15022,1.15030,EUR/USD
2025-06-19 00:38:00,1.15029,1.15039,1.15,1.15028,EUR/USD
2025-06-19 00:39:00,1.15027,1.15031,1.15001,1.15013,EUR/USD
2025-06-19 00:40:00,1.15038,1.15055,1.15027,1.15047,EUR/USD
2025-06-19 00:41:00,1.1504,1.15048,1.15012,1.15033,EUR/USD
2025-06-19 00:42:00,1.15030,1.15052,1.15015,1.15029,EUR/USD
2025-06-19 00:43:00,1.15026,1.15047,1.15015,1.15031,EUR/USD
2025-06-19 00:44:00,1.15030,1.15055,1.15025,1.15048,EUR/USD
2025-06-19 00:45:00,1.15047,1.15061,1.15041,1.15054,EUR/USD
2025-06-19 00:46:00,1.15054,1.15078,1.15009,1.15013,EUR/USD
2025-06-19 00:47:00,1.15017,1.15023,1.14985,1.14992,EUR/USD
2025-06-19 00:48:00,1.14983,1.15033,1.14978,1.15029,EUR/USD
2025-06-19 00:49:00,1.15030,1.15067,1.15023,1.1505,EUR/USD
